Excluded column,Reason for exclusion,Excluded from task(s)
DEP_DELAY,Only known after the flight departs; near-deterministic predictor of ARR_DELAY (target for arrival task),"Arrival Delay, Departure Delay (target)"
ARR_TIME(MINS),Actual arrival time — only known after the flight lands,"Arrival Delay, Departure Delay"
DEP_TIME(MINS),Actual departure time — only known after departure occurs,"Arrival Delay, Departure Delay"
WHEELS_OFF(MINS),Recorded once the aircraft leaves the gate,"Arrival Delay, Departure Delay"
WHEELS_ON(MINS),Recorded once the aircraft lands,"Arrival Delay, Departure Delay"
TAXI_IN,Ground time after landing — post-arrival only,"Arrival Delay, Departure Delay"
TAXI_OUT,Ground time before takeoff — only known once departure has begun,"Arrival Delay, Departure Delay"
FLIGHT_DURATION(MINS),Total flight duration — only fully known after landing,"Arrival Delay, Departure Delay"
AIR_TIME,Time airborne — only known after landing,"Arrival Delay, Departure Delay"
DELAY_DUE_CARRIER / WEATHER / NAS / SECURITY / LATE_AIRCRAFT,Delay-cause breakdown is only assigned after a delay has occurred and been categorized,"Arrival Delay, Departure Delay, Cancellation"
CANCELLATION_CODE,Only populated for already-cancelled flights; would leak the cancellation outcome itself,Cancellation
